Mark 16:17-20
Luke 1:1-7
Luke 1:8-23
Luke 1:24-38
Luke 1:39-55
Luke 1:56-66
Luke 1:67-80
Luke 2:1-14
Luke 2:15-20
Luke 2:21-35
Luke 2:36-40
Luke 2:41-52
Luke 3:1-14
Luke 3:15-20
Luke 3:21-38
Luke 4:1-4
Luke 4:5-8
Luke 4:9-15
Luke 4:16-24
Luke 4:25-37
Luke 4:38-44
Luke 5:1-11
Luke 5:12-16
Luke 5:17-26
Luke 5:27-32
Luke 5:33-39
Luke 6:1-5
Luke 6:6-19
Luke 6:20-23
Luke 6:24-31
Luke 6:32-38
Luke 6:39-45
Luke 6:46-49
Luke 7:1-10
Luke 7:11-17
Luke 7:18-23
Luke 7:24-35
Luke 7:36-50
Luke 8:1-3
Luke 8:4-15
Luke 8:16-18
Luke 8:19-21
Luke 8:22-25
Luke 8:26-39
Luke 8:40-56
Luke 9:1-6
Luke 9:7-17
Luke 9:18-22
Luke 9:23-27
Luke 9:28-36
Luke 9:37-43
Luke 9:44-48
Luke 9:49-56
Luke 9:57-62
Luke 10:1-7
Luke 10:8-16
Luke 10:17-20
Luke 10:21-24
Luke 10:25-37
Luke 10:38-42
Luke 11:1-10
Luke 11:11-13
Luke 11:14-26
Luke 11:27-32
Luke 11:33-36
Luke 11:37-44
Luke 11:45-54
Luke 12:1-7
Luke 12:8-15
Luke 12:16-21
Luke 12:22-32
Luke 12:33-34
Luke 12:35-48
Luke 12:49-59
Luke 13:1-9
Luke 13:10-21
Luke 13:22-30
Luke 13:31-35
Luke 14:1-11
Luke 14:12-24
Luke 14:25-35
Luke 15:1-10
Luke 15:12-24
Luke 15:25-32
Luke 16:1-12
Luke 16:13-17
Luke 16:18-31
Luke 17:1-4
Luke 17:5-10
Luke 17:11-19
Luke 17:20-21
Luke 17:22-32
Luke 17:33-37
Luke 18:1-8
Luke 18:9-14
Luke 18:15-30
Luke 18:31-43
Luke 19:1-10
Luke 19:11-28
Luke 19:29-40
Luke 19:41-48
Luke 20:1-26
Luke 20:27-40
Luke 20:41-47
Luke 21:1-9
Luke 21:10-19
Luke 21:20-28
Luke 21:29-38
Luke 22:1-23
Luke 22:24-30
Luke 22:31-46
Luke 22:47-71
Luke 23:1-25
Luke 23:26-43
Luke 23:44-56
Luke 24:1-27
Luke 24:28-35
Luke 24:36-53
Acts 1
Acts 2
Acts 3:1-10
Acts 3:11-26
Acts 4:1-22
Acts 4:23-37
Acts 5:1-16
Acts 5:17-42
Acts 6
Acts 7
Acts 8:1-24
Acts 8:25-40
Acts 9:1-25
Acts 9:26-43
Acts 10:1-33
Acts 10:34-48
Acts 11
Acts 12:1-19
Acts 12:20-25
Acts 13:1-12
Acts 13:13-37
Acts 13:38-52
Acts 14:1-7
Acts 14:8-28
Acts 15:1-21
Acts 15:22-41
Acts 16:1-5
Acts 16:6-15
Acts 16:16-40
Acts 17:1-15
Acts 17:16-34
Acts 18
Acts 19:1-18
Acts 19:19-41
Acts 20:1-24
Acts 20:25-30
Acts 20:31-38
Acts 21
Acts 22:1-10
Acts 22:11-30
Acts 23:1-10
Acts 23:11-35
Acts 24
Acts 25-26:15
Acts 26:16-32
Acts 27
Acts 28
Romans 1:1-7
Romans 1:8-12
Romans 1:13-17
Romans 1:18-23
Romans 1:24-32
Romans 2:1-11
Romans 2:12-16
Romans 2:17-29
Romans 3:1-8
Romans 3:9-20
Romans 3:21-26
Romans 3:27-31
Romans 4:1-16
Romans 4:17-25
Romans 5:1-5
Romans 5:6-11
Romans 5:12-21
Romans 6:1-11
Romans 6:12-14
Romans 6:15-23
Romans 7:1-17
Romans 7:18-25
Romans 8:1-4
Romans 8:5-11
Romans 8:12-17
Romans 8:18-25
Romans 8:26-30
Romans 8:31-39
Romans 9:1-13
Romans 9:14-33
Romans 10:1-8
Romans 10:9-13
Romans 10:14-21
Romans 11:1-32
Romans 11:33-36
Romans 12:1-2
Romans 12:3-11
Romans 12:12-16
Romans 12:17-21
Romans 13:1-7
Romans 13:8-14
Romans 14:1-12
Romans 14:13-23
Romans 15:1-13
Romans 15:14-19
Romans 15:20-33
Romans 16:1-20
Romans 16:21-27
1 Corinthians 1:1-9
1 Corinthians 1:10-17
1 Corinthians 1:18-25
1 Corinthians 1:18-25
1 Corinthians 1:26-31
1 Corinthians 2:1-11
1 Corinthians 2:12-16
1 Corinthians 3:1-9
1 Corinthians 3:10-15
1 Corinthians 3:16-23
1 Corinthians 4:1-5
1 Corinthians 4:6-13
1 Corinthians 4:14-21
1 Corinthians 5:1-8
1 Corinthians 5:9-13
1 Corinthians 6:1-8
