Revelation 22:16-21
Matthew 1
Matthew 2
Matthew 3:1-12
Matthew 3:13-17
Matthew 4:1-11
Matthew 4:12-25
Matthew 5:1-12
Matthew 5:13-16
Matthew 5:17-20
Matthew 5:21-26
Matthew 5:27-37
Matthew 5:38-48
Matthew 6:1-8
Matthew 6:9-10
Matthew 6:11-13
Matthew 6:14-15
Matthew 6:16-21
Matthew 6:22-24
Matthew 6:25-30
Matthew 6:31-34
Matthew 7:1-6
Matthew 7:7-12
Matthew 7:13-29
Matthew 8:1-17
Matthew 8:18-34
Matthew 9:1-13
Matthew 9:14-26
Matthew 9:27-38
Matthew 10:1-15
Matthew 10:16-23
Matthew 10:24-33
Matthew 10:34-42
Matthew 11:1-19
Matthew 11:20-30
Matthew 12:1-8
Matthew 12:9-21
Matthew 12:22-30
Matthew 12:31-37
Matthew 12:38-50
Matthew 13:1-16
Matthew 13:17-30
Matthew 13:31-43
Matthew 13:44-58
Matthew 14:1-21
Matthew 14:22-36
Matthew 15:1-20
Matthew 15:21-28
Matthew 15:29-39
Matthew 16:1-20
Matthew 16:21-28
Matthew 17:1-13
Matthew 17:14-27
Matthew 18:1-11
Matthew 18:12-20
Matthew 18:21-35
Matthew 19:1-12
Matthew 19:13-22
Matthew 19:23-30
Matthew 20:1-16
Matthew 20:17-28
Matthew 20:29-34
Matthew 21:1-11
Matthew 21:12-17
Matthew 21:18-22
Matthew 21:23-46
Matthew 22:1-14
Matthew 22:15-22
Matthew 22:23-33
Matthew 22:34-46
Matthew 23:1-12
Matthew 23:13-24
Matthew 23:25-39
Matthew 24:1-14
Matthew 24:15-31
Matthew 24:32-44
Matthew 24:45-51
Matthew 25:1-13
Matthew 25:14-30
Matthew 25:31-46
Matthew 26:1-25
Matthew 26:26-39
Matthew 26:40-75
Matthew 27:1-31
Matthew 27:32-50
Matthew 27:51-66
Matthew 28:1-10
Matthew 28:11-20
Psalms 1
Psalms 2
Psalms 3
Psalms 4
Psalms 5:1-6
Psalms 5:7-12
Psalms 6
Psalms 7:1-11
Psalms 7:12-17
Psalms 8
Psalms 9:1-12
Psalms 9:13-20
Psalms 10
Psalms 11
Psalms 12
Psalms 13
Psalms 14
Psalms 15
Psalms 16:1-4
Psalms 16:5-8
Psalms 16:9-11
Psalms 17:1-5
